state,ida,total_works,total_sanction_amount,mean_work_amount,mean_risk_score,critical_high_count,critical_pct,state_avg_risk,risk_variance_vs_state,geographic_risk_score,geographic_reason
Tamil Nadu,Tirupathur(District Collector Tirupathur_IDA),36,18972307.0,527008.5277777778,35.922222222222224,1,2.7777777777777777,36.79733924611973,-0.8751170238975092,20.0,District and IDA parameters match regional baseline standards.
Tamil Nadu,VIRUDHUNAGAR(DISTRICT COLLECTOR VIRUDHUNAGAR_IDA),54,46910673.0,868716.1666666666,36.461111111111116,5,9.25925925925926,36.79733924611973,-0.3362281350086178,20.0,District and IDA parameters match regional baseline standards.
Tamil Nadu,Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA),95,70090467.0,737794.3894736842,20.397894736842105,8,8.421052631578947,36.79733924611973,-16.39944450927763,30.0,District and IDA parameters match regional baseline standards.
Telangana,BHADRADRI KOTHAGUDEM(District Collector Bhadradri Ktdm_IDA),2,999000.0,499500.0,16.45,0,0.0,38.627442702050665,-22.177442702050666,20.0,District and IDA parameters match regional baseline standards.
Telangana,HANUMAKONDA(DISTRICT COLLECTOR HANUMAKONDA_IDA),50,19550696.0,391013.92,29.842,2,4.0,38.627442702050665,-8.785442702050666,20.0,District and IDA parameters match regional baseline standards.
Telangana,JANGOAN(DISTRICT COLLECTOR JANGAON_IDA),61,13117488.0,215040.7868852459,34.85573770491803,1,1.639344262295082,38.627442702050665,-3.7717049971326375,20.0,District and IDA parameters match regional baseline standards.
Telangana,JAYASHANKAR BHUPALAPALLY(DISTRICT COLLECTOR JAYASHANKAR BHUPALPALLY_IDA),8,2561156.0,320144.5,61.9375,3,37.5,38.627442702050665,23.310057297949335,85.0,IDA average risk (61.9) is significantly higher than state baseline (38.6). | High concentration of flagged projects (37.5% critical/high risk).
Telangana,Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA),177,60075190.0,339407.85310734465,44.57005649717514,53,29.943502824858758,38.627442702050665,5.942613795124473,80.0,High concentration of flagged projects (29.9% critical/high risk). | Unusually high project concentration (177 works sanctioned).
Telangana,KARIMNAGAR(DISTRICT COLLECTOR KARIMNAGAR_IDA),51,21609763.0,423720.8431372549,52.127450980392155,7,13.725490196078432,38.627442702050665,13.50000827834149,55.0,IDA average risk (52.1) is significantly higher than state baseline (38.6).
Telangana,KHAMMAM(DISTRICT COLLECTOR KHAMMAM_IDA),46,17939146.0,389981.4347826087,29.080434782608698,3,6.521739130434782,38.627442702050665,-9.547007919441967,20.0,District and IDA parameters match regional baseline standards.
Telangana,KUMURAM BHEEM ASIFABAD(District Collector KB Asifabad_IDA),53,7750000.0,146226.4150943396,57.24528301886792,32,60.37735849056604,38.627442702050665,18.617840316817258,85.0,IDA average risk (57.2) is significantly higher than state baseline (38.6). | High concentration of flagged projects (60.4% critical/high risk).
Telangana,MAHABUBABAD(DISTRICT COLLECTOR MAHABUBABAD_IDA),36,14125222.0,392367.27777777775,48.363888888888894,3,8.333333333333332,38.627442702050665,9.73644618683823,40.0,District and IDA parameters match regional baseline standards.
Telangana,MAHABUBNAGAR(DISTRICT COLLECTOR MAHABUBNAGAR_3),38,11905687.0,313307.55263157893,29.426315789473687,3,7.894736842105263,38.627442702050665,-9.201126912576978,20.0,District and IDA parameters match regional baseline standards.
Telangana,MANCHERIAL(District Collector Mancherial_IDA),4,5850000.0,1462500.0,27.674999999999997,0,0.0,38.627442702050665,-10.952442702050668,20.0,District and IDA parameters match regional baseline standards.
