work_id,state,ida,mp_name,constituency,work_category,work_description_clean,recommended_dt,sanction_dt,sanction_amount,sanction_delay_days,work_status,v1_anomaly_score,cost_anomaly_score,delay_anomaly_score,duplicate_score,fund_utilization_score,v1_contrib,cost_contrib,delay_contrib,duplicate_contrib,fund_contrib,base_weighted_sum,max_signal,composite_risk_score,risk_level,risk_reasons,geographic_score,agency_score,v2_composite_score,geo_contrib,agency_contrib,real_weighted_sum,real_max_signal,real_composite_risk_score,final_composite_risk_score,unified_explanation
WS/  MP644/2024-2025/151371-Purchase of mobile water tankers,Madhya Pradesh,REWA(DISTRICT COLLECTOR REWA_IDA),Janardan Mishra,REWA,Normal/Others,water tanker,2024-11-07,2025-01-21,321522.0,75,Vendor Identification,16.8,15.0,15.0,100.00000000000004,15.0,5.04,2.25,2.25,10.0,1.5,28.47,100.00000000000004,71.4,High,🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,85.0,70.0,71.4,8.5,7.0,36.54,100.00000000000004,71.4,71.4,Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP18024/2026-2027/180048-Construction of community centers and community halls,Assam,CHARAIDEO(Deputy Commissioner Charaideo_IDA),GAURAV GOGOI,JORHAT,Normal/Others,"Development of Dam Chao Dimbeshwar Gogoi Moidam, 1No. Rahan Pathar, Rahan GP",2025-03-07,2026-06-24,250000.0,474,Sanction,32.2,15.0,100.0,0.0,15.0,9.66,2.25,15.0,0.0,1.5,32.38,100.0,71.4,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 474 days.,40.0,40.0,73.0,4.0,4.0,36.41,100.0,71.4,71.4,Recommendation-to-sanction approval delay of 474 days.
WS/MP18228/2025-2026/182483-Street lights,Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),PRIYA SAROJ,MACHHLISHAHR(SC),Normal/Others,SUBASH CHANDRA YADAV SON SHYAM NARAYAN K GHAR K PASS 01 NAG SOLAR LIGHT,2025-03-29,2025-07-23,20900.0,116,Vendor Identification,26.6,15.0,45.0,100.0,15.0,7.98,2.25,6.75,10.0,1.5,36.89,100.0,71.4,High,🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,35.0,45.0,74.8,3.5,4.5,36.480000000000004,100.0,71.4,71.4,Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification.
WS/  MP644/2024-2025/151373-Purchase of mobile water tankers,Madhya Pradesh,REWA(DISTRICT COLLECTOR REWA_IDA),Janardan Mishra,REWA,Normal/Others,water tanker,2024-11-07,2025-01-21,321522.0,75,Vendor Identification,16.8,15.0,15.0,100.00000000000004,15.0,5.04,2.25,2.25,10.0,1.5,28.47,100.00000000000004,71.4,High,🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,85.0,70.0,71.4,8.5,7.0,36.54,100.00000000000004,71.4,71.4,Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP18228/2025-2026/182467-Street lights,Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),PRIYA SAROJ,MACHHLISHAHR(SC),Normal/Others,SUBASH CHANDRA YADAV SON SHYAM NARAYAN K GHAR K PASS 01 NAG SOLAR LIGHT,2025-03-29,2025-07-23,20900.0,116,Vendor Identification,26.6,15.0,45.0,100.0,15.0,7.98,2.25,6.75,10.0,1.5,36.89,100.0,71.4,High,🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,35.0,45.0,74.8,3.5,4.5,36.480000000000004,100.0,71.4,71.4,Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification.
WS/MP393/2026-2027/167605-Construction of bus-sheds or bus-stops,Tamil Nadu,SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA),Shri Karti P Chidambaram,SIVAGANGA,Normal/Others,"Construction of Bus Shelter at Keela veethiyankudi AD Colony, Pirampuvayal Panchayat in Sakkottai Block",2025-01-23,2026-07-07,675000.0,530,Physical Inspection,25.8,15.0,100.0,0.0,15.0,7.74,2.25,15.0,0.0,1.5,29.82,100.0,71.4,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 530 days.,55.0,45.0,71.9,5.5,4.5,36.49,100.0,71.4,71.4,Recommendation-to-sanction approval delay of 530 days.
WS/MP638/2024-2025/152519-Construction of buildings for community cultural activities,Madhya Pradesh,CHHATARPUR(District Collector Chhatarpur_IDA),Virendra Kumar,TIKAMGARH(SC),Normal/Others,Saansad Utsav Dham,2024-11-14,2025-01-17,1200000.0,64,Vendor Identification,21.7,15.0,15.0,100.00000000000004,15.0,6.51,2.25,2.25,10.0,1.5,30.43,100.00000000000004,71.4,High,🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,70.0,70.0,72.2,7.0,7.0,36.51,100.00000000000004,71.4,71.4,Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
"WS/MP440/2025-2026/161948-Construction of roads, link roads, pathways or any other road with or without drainage system",Kerala,PALAKKAD(DISTRICT COLLECTOR PALAKKAD_IDA),Vellalath Kochukrishnan Nair Sreekandan,PALAKKAD,Normal/Others,Mukkali -Chindakki Road Concreting.,2024-12-29,2026-01-09,2150279.0,376,Physical Inspection,28.9,15.0,100.0,0.0,15.0,8.67,2.25,15.0,0.0,1.5,31.06,100.0,71.4,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 376 days.,45.0,45.0,72.4,4.5,4.5,36.42,100.0,71.4,71.4,Recommendation-to-sanction approval delay of 376 days.
"WS/MP582/2026-2027/160434-Purchase of IT systems, including hardware and software for educational purposes",Gujarat,SURAT(DISTRICT COLLECTOR SURAT_IDA),Prabhubhai Nagarbhai Vasava,BARDOLI(ST),Normal/Others,"Computer, printer facility work at Primary School Main, Sathava village, Taluka Mandvi, District Surat",2024-12-20,2026-08-19,150000.0,607,Sanction,38.9,15.0,100.0,0.0,15.0,11.67,2.25,15.0,0.0,1.5,35.06,100.0,71.4,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 607 days.,30.0,30.0,74.0,3.0,3.0,36.42,100.0,71.4,71.4,Recommendation-to-sanction approval delay of 607 days.
"WS/MP18264/2025-2026/160993-Construction of roads, link roads, pathways or any other road with or without drainage system",Kerala,ERNAKULAM(DISTRICT COLLECTOR ERNAKULAM_IDA),ADV K FRANCIS GEORGE,KOTTAYAM,Normal/Others,Construction of Ayurvedapady Thiruveeswamkulam Temple Road,2024-12-23,2026-01-09,700000.0,382,Sanction,29.0,15.0,100.0,0.0,15.0,8.7,2.25,15.0,0.0,1.5,31.1,100.0,71.4,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 382 days.,45.0,45.0,72.4,4.5,4.5,36.45,100.0,71.4,71.4,Recommendation-to-sanction approval delay of 382 days.
WS/MP638/2024-2025/152511-Construction of buildings for community cultural activities,Madhya Pradesh,CHHATARPUR(District Collector Chhatarpur_IDA),Virendra Kumar,TIKAMGARH(SC),Normal/Others,Saansad Utsav Dham,2024-11-14,2025-02-07,1200000.0,85,Vendor Identification,21.3,15.0,15.0,100.00000000000004,15.0,6.39,2.25,2.25,10.0,1.5,30.27,100.00000000000004,71.4,High,🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,70.0,70.0,72.1,7.0,7.0,36.39,100.00000000000004,71.4,71.4,Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP18045/2025-2026/198070-Lighting of public spaces,Bihar,SIWAN(DISTRICT PLANNING OFFICER SIWAN_IDA),VIJAYLAKSHMI DEVI,SIWAN,Normal/Others,High Mask Light,2025-05-09,2025-07-31,958000.0,83,Physical Inspection,10.5,15.0,15.0,100.00000000000004,15.0,3.15,2.25,2.25,10.0,1.5,25.95,100.00000000000004,71.3,High,🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,85.0,85.0,70.4,8.5,8.5,36.15,100.00000000000004,71.3,71.3,Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP18031/2024-2025/143530-Purchase of books and periodicals for libraries/digitization of library books,Bihar,GAYA(DISTRICT PLANNING OFFICER GAYA_IDA),ABHAY KUMAR SINHA,AURANGABAD_BR,Normal/Others,purchase of books for school library. sanction five lacs for every school.,2024-09-25,2025-01-15,499385.0,112,Physical Inspection,9.1,15.0,45.0,100.0,15.0,2.73,2.25,6.75,10.0,1.5,29.89,100.0,71.3,High,🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,85.0,45.0,72.0,8.5,4.5,36.230000000000004,100.0,71.3,71.3,Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration.
WS/MP18031/2024-2025/143527-Purchase of books and periodicals for libraries/digitization of library books,Bihar,GAYA(DISTRICT PLANNING OFFICER GAYA_IDA),ABHAY KUMAR SINHA,AURANGABAD_BR,Normal/Others,purchase of books for school library. sanction five lacs for every school.,2024-09-25,2025-01-15,499385.0,112,Physical Inspection,9.1,15.0,45.0,100.0,15.0,2.73,2.25,6.75,10.0,1.5,29.89,100.0,71.3,High,🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,85.0,45.0,72.0,8.5,4.5,36.230000000000004,100.0,71.3,71.3,Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration.
WS/MP18045/2025-2026/198072-Lighting of public spaces,Bihar,SIWAN(DISTRICT PLANNING OFFICER SIWAN_IDA),VIJAYLAKSHMI DEVI,SIWAN,Normal/Others,High Mask Light,2025-05-09,2025-07-31,958000.0,83,Physical Inspection,10.5,15.0,15.0,100.00000000000004,15.0,3.15,2.25,2.25,10.0,1.5,25.95,100.00000000000004,71.3,High,🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,85.0,85.0,70.4,8.5,8.5,36.15,100.00000000000004,71.3,71.3,Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP18079/2025-2026/197348-Lighting of public spaces,Karnataka,BIDAR(DEPUTY COMMISSIONER BIDAR_IDA),SAGAR ESHWAR KHANDRE,BIDAR,Normal/Others,installation of highmast light,2025-05-07,2025-07-07,239522.0,61,Physical Inspection,15.5,15.0,15.0,100.00000000000004,15.0,4.65,2.25,2.25,10.0,1.5,27.95,100.00000000000004,71.3,High,🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,85.0,70.0,71.2,8.5,7.0,36.15,100.00000000000004,71.3,71.3,Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP18031/2024-2025/143512-Purchase of books and periodicals for libraries/digitization of library books,Bihar,GAYA(DISTRICT PLANNING OFFICER GAYA_IDA),ABHAY KUMAR SINHA,AURANGABAD_BR,Normal/Others,purchase of books for school library. sanction of five lacs for  each and every school,2024-09-25,2025-01-15,499385.0,112,Physical Inspection,9.1,15.0,45.0,100.0,15.0,2.73,2.25,6.75,10.0,1.5,29.89,100.0,71.3,High,🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,85.0,45.0,72.0,8.5,4.5,36.230000000000004,100.0,71.3,71.3,Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration.
WS/MP18031/2024-2025/143513-Purchase of books and periodicals for libraries/digitization of library books,Bihar,GAYA(DISTRICT PLANNING OFFICER GAYA_IDA),ABHAY KUMAR SINHA,AURANGABAD_BR,Normal/Others,purchase of books for school library. sanction of five lacs for  each and every school,2024-09-25,2025-01-15,499385.0,112,Physical Inspection,9.1,15.0,45.0,100.0,15.0,2.73,2.25,6.75,10.0,1.5,29.89,100.0,71.3,High,🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,85.0,45.0,72.0,8.5,4.5,36.230000000000004,100.0,71.3,71.3,Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration.
WS/MP18031/2024-2025/143514-Purchase of books and periodicals for libraries/digitization of library books,Bihar,GAYA(DISTRICT PLANNING OFFICER GAYA_IDA),ABHAY KUMAR SINHA,AURANGABAD_BR,Normal/Others,purchase of books for school library. sanction of five lacs for  each and every school,2024-09-25,2025-01-15,499385.0,112,Physical Inspection,9.1,15.0,45.0,100.0,15.0,2.73,2.25,6.75,10.0,1.5,29.89,100.0,71.3,High,🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,85.0,45.0,72.0,8.5,4.5,36.230000000000004,100.0,71.3,71.3,Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration.
WS/MP18045/2025-2026/198071-Lighting of public spaces,Bihar,SIWAN(DISTRICT PLANNING OFFICER SIWAN_IDA),VIJAYLAKSHMI DEVI,SIWAN,Normal/Others,High Mask Light,2025-05-09,2025-07-31,958000.0,83,Physical Inspection,10.5,15.0,15.0,100.00000000000004,15.0,3.15,2.25,2.25,10.0,1.5,25.95,100.00000000000004,71.3,High,🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,85.0,85.0,70.4,8.5,8.5,36.15,100.00000000000004,71.3,71.3,Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP18031/2024-2025/143515-Purchase of books and periodicals for libraries/digitization of library books,Bihar,GAYA(DISTRICT PLANNING OFFICER GAYA_IDA),ABHAY KUMAR SINHA,AURANGABAD_BR,Normal/Others,purchase of books for school library. sanction of five lacs for  each and every school,2024-09-25,2025-01-15,499385.0,112,Physical Inspection,9.1,15.0,45.0,100.0,15.0,2.73,2.25,6.75,10.0,1.5,29.89,100.0,71.3,High,🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,85.0,45.0,72.0,8.5,4.5,36.230000000000004,100.0,71.3,71.3,Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration.
WS/MP18045/2025-2026/198068-Lighting of public spaces,Bihar,SIWAN(DISTRICT PLANNING OFFICER SIWAN_IDA),VIJAYLAKSHMI DEVI,SIWAN,Normal/Others,High Mask Light,2025-05-09,2025-07-31,958000.0,83,Physical Inspection,10.5,15.0,15.0,100.00000000000004,15.0,3.15,2.25,2.25,10.0,1.5,25.95,100.00000000000004,71.3,High,🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,85.0,85.0,70.4,8.5,8.5,36.15,100.00000000000004,71.3,71.3,Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP18031/2024-2025/143529-Purchase of books and periodicals for libraries/digitization of library books,Bihar,GAYA(DISTRICT PLANNING OFFICER GAYA_IDA),ABHAY KUMAR SINHA,AURANGABAD_BR,Normal/Others,purchase of books for school library. sanction five lacs for every school.,2024-09-25,2025-01-15,499385.0,112,Physical Inspection,9.1,15.0,45.0,100.0,15.0,2.73,2.25,6.75,10.0,1.5,29.89,100.0,71.3,High,🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,85.0,45.0,72.0,8.5,4.5,36.230000000000004,100.0,71.3,71.3,Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration.
WS/MP18051/2025-2026/196980-Construction of culverts and bridges,Chhattisgarh,MAHASAMUND(DISTRICT COLLECTOR MAHASAMUND_IDA),ROOP KUMARI CHOUDHARY,MAHASAMUND,Normal/Others,PULIYA NIRMAN KARYA,2025-05-06,2025-06-23,500000.0,48,Work partially Completed,29.1,15.0,15.0,100.0,15.0,8.73,2.25,2.25,10.0,1.5,33.39,100.0,71.3,High,🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,70.0,45.0,73.4,7.0,4.5,36.230000000000004,100.0,71.3,71.3,Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration.
WS/MP18031/2024-2025/143528-Purchase of books and periodicals for libraries/digitization of library books,Bihar,GAYA(DISTRICT PLANNING OFFICER GAYA_IDA),ABHAY KUMAR SINHA,AURANGABAD_BR,Normal/Others,purchase of books for school library. sanction five lacs for every school.,2024-09-25,2025-01-15,499385.0,112,Physical Inspection,9.1,15.0,45.0,100.0,15.0,2.73,2.25,6.75,10.0,1.5,29.89,100.0,71.3,High,🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,85.0,45.0,72.0,8.5,4.5,36.230000000000004,100.0,71.3,71.3,Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration.
WS/MP18031/2024-2025/143516-Purchase of books and periodicals for libraries/digitization of library books,Bihar,GAYA(DISTRICT PLANNING OFFICER GAYA_IDA),ABHAY KUMAR SINHA,AURANGABAD_BR,Normal/Others,purchase of books for school library. sanction of five lacs for  each and every school,2024-09-25,2025-01-15,499385.0,112,Physical Inspection,9.1,15.0,45.0,100.0,15.0,2.73,2.25,6.75,10.0,1.5,29.89,100.0,71.3,High,🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,85.0,45.0,72.0,8.5,4.5,36.230000000000004,100.0,71.3,71.3,Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration.
WS/MP18031/2024-2025/143517-Purchase of books and periodicals for libraries/digitization of library books,Bihar,GAYA(DISTRICT PLANNING OFFICER GAYA_IDA),ABHAY KUMAR SINHA,AURANGABAD_BR,Normal/Others,purchase of books for school library. sanction of five lacs for  each and every school,2024-09-25,2025-01-15,499385.0,112,Physical Inspection,9.1,15.0,45.0,100.0,15.0,2.73,2.25,6.75,10.0,1.5,29.89,100.0,71.3,High,🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,85.0,45.0,72.0,8.5,4.5,36.230000000000004,100.0,71.3,71.3,Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration.
WS/MP18045/2025-2026/198069-Lighting of public spaces,Bihar,SIWAN(DISTRICT PLANNING OFFICER SIWAN_IDA),VIJAYLAKSHMI DEVI,SIWAN,Normal/Others,High Mask Light,2025-05-09,2025-07-31,958000.0,83,Physical Inspection,10.5,15.0,15.0,100.00000000000004,15.0,3.15,2.25,2.25,10.0,1.5,25.95,100.00000000000004,71.3,High,🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,85.0,85.0,70.4,8.5,8.5,36.15,100.00000000000004,71.3,71.3,Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP18278/2025-2026/141850-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,Chhattisgarh,SAKTI(COLLECTOR SAKTI_IDA),KAMLESH JANGDE,JANJGIR CHAMPA(SC),Normal/Others,GRAM ADBHAR ME (MUKTIDHAM NIRMARAN),2024-09-19,2026-02-05,250000.0,504,Vendor Identification,46.9,15.0,100.0,0.0,15.0,14.07,2.25,15.0,0.0,1.5,38.260000000000005,100.0,71.3,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 504 days.,20.0,15.0,75.3,2.0,1.5,36.32,100.0,71.3,71.3,Recommendation-to-sanction approval delay of 504 days.
WS/MP18031/2024-2025/143565-Purchase of books and periodicals for libraries/digitization of library books,Bihar,GAYA(DISTRICT PLANNING OFFICER GAYA_IDA),ABHAY KUMAR SINHA,AURANGABAD_BR,Normal/Others,purchase of books for school library. sanction of five lacs for every school,2024-09-25,2025-01-15,499385.0,112,Physical Inspection,9.1,15.0,45.0,100.0,15.0,2.73,2.25,6.75,10.0,1.5,29.89,100.0,71.3,High,🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,85.0,45.0,72.0,8.5,4.5,36.230000000000004,100.0,71.3,71.3,Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration.
WS/MP18031/2024-2025/143492-Purchase of books and periodicals for libraries/digitization of library books,Bihar,GAYA(DISTRICT PLANNING OFFICER GAYA_IDA),ABHAY KUMAR SINHA,AURANGABAD_BR,Normal/Others,purchase of books for school library. sanction of five lacs of each school,2024-09-25,2025-01-15,499385.0,112,Physical Inspection,9.1,15.0,45.0,100.0,15.0,2.73,2.25,6.75,10.0,1.5,29.89,100.0,71.3,High,🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,85.0,45.0,72.0,8.5,4.5,36.230000000000004,100.0,71.3,71.3,Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration.
WS/MP18031/2024-2025/143572-Purchase of books and periodicals for libraries/digitization of library books,Bihar,GAYA(DISTRICT PLANNING OFFICER GAYA_IDA),ABHAY KUMAR SINHA,AURANGABAD_BR,Normal/Others,purchase of books for school library. sanction of five lacs for every school,2024-09-25,2025-01-15,499385.0,112,Physical Inspection,9.1,15.0,45.0,100.0,15.0,2.73,2.25,6.75,10.0,1.5,29.89,100.0,71.3,High,🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,85.0,45.0,72.0,8.5,4.5,36.230000000000004,100.0,71.3,71.3,Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration.
WS/MP632/2026-2027/189055-Lighting of public spaces,Kerala,PATHANAMTHITTA(DISTRICT COLLECTOR PATHANAMTHITTA_IDA),Anto Antony,PATHANAMTHITTA,Normal/Others,Providing 8 Meter LED MIni Mast Light at Thumpamon North Govt. High School  Junction in Chenneerkara Grama Panchayat (Ward-11),2025-04-03,2026-07-20,216758.0,473,Sanction,31.8,15.0,100.0,0.0,15.0,9.54,2.25,15.0,0.0,1.5,32.22,100.0,71.3,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 473 days.,35.0,45.0,72.9,3.5,4.5,36.29,100.0,71.3,71.3,Recommendation-to-sanction approval delay of 473 days.
